Name                                                                                                                             Owner                                                                                                                            Object_type
sp_MSactivatelogbasedarticleobject                                                                                               sys                                                                                                                              stored procedure
sp_MSactivateprocedureexecutionarticleobject                                                                                     sys                                                                                                                              stored procedure
sp_MSadd_anonymous_agent                                                                                                         sys                                                                                                                              stored procedure
sp_MSadd_article                                                                                                                 sys                                                                                                                              stored procedure
sp_MSadd_compensating_cmd                                                                                                        sys                                                                                                                              stored procedure
sp_MSadd_distribution_agent                                                                                                      sys                                                                                                                              stored procedure
sp_MSadd_distribution_history                                                                                                    sys                                                                                                                              stored procedure
sp_MSadd_dynamic_snapshot_location                                                                                               sys                                                                                                                              stored procedure
sp_MSadd_filteringcolumn                                                                                                         sys                                                                                                                              stored procedure
sp_MSadd_log_shipping_error_detail                                                                                               sys                                                                                                                              stored procedure
sp_MSadd_log_shipping_history_detail                                                                                             sys                                                                                                                              stored procedure
sp_MSadd_logreader_agent                                                                                                         sys                                                                                                                              stored procedure
sp_MSadd_logreader_history                                                                                                       sys                                                                                                                              stored procedure
sp_MSadd_merge_agent                                                                                                             sys                                                                                                                              stored procedure
sp_MSadd_merge_anonymous_agent                                                                                                   sys                                                                                                                              stored procedure
sp_MSadd_merge_history                                                                                                           sys                                                                                                                              stored procedure
sp_MSadd_merge_history90                                                                                                         sys                                                                                                                              stored procedure
sp_MSadd_merge_subscription                                                                                                      sys                                                                                                                              stored procedure
sp_MSadd_mergereplcommand                                                                                                        sys                                                                                                                              stored procedure
sp_MSadd_mergesubentry_indistdb                                                                                                  sys                                                                                                                              stored procedure
sp_MSadd_publication                                                                                                             sys                                                                                                                              stored procedure
sp_MSadd_qreader_agent                                                                                                           sys                                                                                                                              stored procedure
sp_MSadd_qreader_history                                                                                                         sys                                                                                                                              stored procedure
sp_MSadd_repl_alert                                                                                                              sys                                                                                                                              stored procedure
sp_MSadd_repl_command                                                                                                            sys                                                                                                                              stored procedure
sp_MSadd_repl_commands27hp                                                                                                       sys                                                                                                                              stored procedure
sp_MSadd_repl_error                                                                                                              sys                                                                                                                              stored procedure
sp_MSadd_replcmds_mcit                                                                                                           sys                                                                                                                              stored procedure
sp_MSadd_replmergealert                                                                                                          sys                                                                                                                              stored procedure
sp_MSadd_snapshot_agent                                                                                                          sys                                                                                                                              stored procedure
sp_MSadd_snapshot_history                                                                                                        sys                                                                                                                              stored procedure
sp_MSadd_subscriber_info                                                                                                         sys                                                                                                                              stored procedure
sp_MSadd_subscriber_schedule                                                                                                     sys                                                                                                                              stored procedure
sp_MSadd_subscription                                                                                                            sys                                                                                                                              stored procedure
sp_MSadd_subscription_3rd                                                                                                        sys                                                                                                                              stored procedure
sp_MSadd_tracer_history                                                                                                          sys                                                                                                                              stored procedure
sp_MSadd_tracer_token                                                                                                            sys                                                                                                                              stored procedure
sp_MSaddanonymousreplica                                                                                                         sys                                                                                                                              stored procedure
sp_MSadddynamicsnapshotjobatdistributor                                                                                          sys                                                                                                                              stored procedure
sp_MSaddguidcolumn                                                                                                               sys                                                                                                                              stored procedure
sp_MSaddguidindex                                                                                                                sys                                                                                                                              stored procedure
sp_MSaddinitialarticle                                                                                                           sys                                                                                                                              stored procedure
sp_MSaddinitialpublication                                                                                                       sys                                                                                                                              stored procedure
sp_MSaddinitialschemaarticle                                                                                                     sys                                                                                                                              stored procedure
sp_MSaddinitialsubscription                                                                                                      sys                                                                                                                              stored procedure
sp_MSaddlightweightmergearticle                                                                                                  sys                                                                                                                              stored procedure
sp_MSaddmergedynamicsnapshotjob                                                                                                  sys                                                                                                                              stored procedure
sp_MSaddmergetriggers                                                                                                            sys                                                                                                                              stored procedure
sp_MSaddmergetriggers_from_template                                                                                              sys                                                                                                                              stored procedure
sp_MSaddmergetriggers_internal                                                                                                   sys                                                                                                                              stored procedure
sp_MSaddpeerlsn                                                                                                                  sys                                                                                                                              stored procedure
sp_MSaddsubscriptionarticles                                                                                                     sys                                                                                                                              stored procedure
sp_MSadjust_pub_identity                                                                                                         sys                                                                                                                              stored procedure
sp_MSagent_retry_stethoscope                                                                                                     sys                                                                                                                              stored procedure
sp_MSagent_stethoscope                                                                                                           sys                                                                                                                              stored procedure
sp_MSallocate_new_identity_range                                                                                                 sys                                                                                                                              stored procedure
sp_MSalreadyhavegeneration                                                                                                       sys                                                                                                                              stored procedure
sp_MSanonymous_status                                                                                                            sys                                                                                                                              stored procedure
sp_MSarticlecleanup                                                                                                              sys                                                                                                                              stored procedure
sp_MSbrowsesnapshotfolder                                                                                                        sys                                                                                                                              stored procedure
sp_MScache_agent_parameter                                                                                                       sys                                                                                                                              stored procedure
sp_MScdc_capture_job                                                                                                             sys                                                                                                                              stored procedure
sp_MScdc_cleanup_job                                                                                                             sys                                                                                                                              stored procedure
sp_MScdc_db_ddl_event                                                                                                            sys                                                                                                                              stored procedure
sp_MScdc_ddl_event                                                                                                               sys                                                                                                                              stored procedure
sp_MScdc_logddl                                                                                                                  sys                                                                                                                              stored procedure
sp_MSchange_article                                                                                                              sys                                                                                                                              stored procedure
sp_MSchange_distribution_agent_properties                                                                                        sys                                                                                                                              stored procedure
sp_MSchange_logreader_agent_properties                                                                                           sys                                                                                                                              stored procedure
sp_MSchange_merge_agent_properties                                                                                               sys                                                                                                                              stored procedure
sp_MSchange_mergearticle                                                                                                         sys                                                                                                                              stored procedure
sp_MSchange_mergepublication                                                                                                     sys                                                                                                                              stored procedure
sp_MSchange_originatorid                                                                                                         sys                                                                                                                              stored procedure
sp_MSchange_priority                                                                                                             sys                                                                                                                              stored procedure
sp_MSchange_publication                                                                                                          sys                                                                                                                              stored procedure
sp_MSchange_retention                                                                                                            sys                                                                                                                              stored procedure
sp_MSchange_retention_period_unit                                                                                                sys                                                                                                                              stored procedure
sp_MSchange_snapshot_agent_properties                                                                                            sys                                                                                                                              stored procedure
sp_MSchange_subscription_dts_info                                                                                                sys                                                                                                                              stored procedure
sp_MSchangearticleresolver                                                                                                       sys                                                                                                                              stored procedure
sp_MSchangedynamicsnapshotjobatdistributor                                                                                       sys                                                                                                                              stored procedure
sp_MSchangedynsnaplocationatdistributor                                                                                          sys                                                                                                                              stored procedure
sp_MSchangeobjectowner                                                                                                           sys                                                                                                                              stored procedure
sp_MScheck_agent_instance                                                                                                        sys                                                                                                                              stored procedure
sp_MScheck_Jet_Subscriber                                                                                                        sys                                                                                                                              stored procedure
sp_MScheck_logicalrecord_metadatamatch                                                                                           sys                                                                                                                              stored procedure
sp_MScheck_merge_subscription_count                                                                                              sys                                                                                                                              stored procedure
sp_MScheck_pub_identity                                                                                                          sys                                                                                                                              stored procedure
sp_MScheck_pull_access                                                                                                           sys                                                                                                                              stored procedure
sp_MScheck_snapshot_agent                                                                                                        sys                                                                                                                              stored procedure
sp_MScheck_subscription                                                                                                          sys                                                                                                                              stored procedure
sp_MScheck_subscription_expiry                                                                                                   sys                                                                                                                              stored procedure
sp_MScheck_subscription_partition                                                                                                sys                                                                                                                              stored procedure
sp_MScheck_tran_retention                                                                                                        sys                                                                                                                              stored procedure
sp_MScheckexistsgeneration                                                                                                       sys                                                                                                                              stored procedure
sp_MScheckexistsrecguid                                                                                                          sys                                                                                                                              stored procedure
sp_MScheckfailedprevioussync                                                                                                     sys                                                                                                                              stored procedure
sp_MScheckidentityrange                                                                                                          sys                                                                                                                              stored procedure
sp_MScheckIsPubOfSub                                                                                                             sys                                                                                                                              stored procedure
sp_MSchecksharedagentforpublication                                                                                              sys                                                                                                                              stored procedure
sp_MSchecksnapshotstatus                                                                                                         sys                                                                                                                              stored procedure
sp_MScleanup_agent_entry                                                                                                         sys                                                                                                                              stored procedure
sp_MScleanup_conflict                                                                                                            sys                                                                                                                              stored procedure
sp_MScleanup_publication_ADinfo                                                                                                  sys                                                                                                                              stored procedure
sp_MScleanup_subscription_distside_entry                                                                                         sys                                                                                                                              stored procedure
sp_MScleanupdynamicsnapshotfolder                                                                                                sys                                                                                                                              stored procedure
sp_MScleanupdynsnapshotvws                                                                                                       sys                                                                                                                              stored procedure
sp_MSCleanupForPullReinit                                                                                                        sys                                                                                                                              stored procedure
sp_MScleanupmergepublisher_internal                                                                                              sys                                                                                                                              stored procedure
sp_MSclear_dynamic_snapshot_location                                                                                             sys                                                                                                                              stored procedure
sp_MSclearresetpartialsnapshotprogressbit                                                                                        sys                                                                                                                              stored procedure
sp_MScomputelastsentgen                                                                                                          sys                                                                                                                              stored procedure
sp_MScomputemergearticlescreationorder                                                                                           sys                                                                                                                              stored procedure
sp_MScomputemergeunresolvedrefs                                                                                                  sys                                                                                                                              stored procedure
sp_MSconflicttableexists                                                                                                         sys                                                                                                                              stored procedure
sp_MScreate_all_article_repl_views                                                                                               sys                                                                                                                              stored procedure
sp_MScreate_article_repl_views                                                                                                   sys                                                                                                                              stored procedure
sp_MScreate_dist_tables                                                                                                          sys                                                                                                                              stored procedure
sp_MScreate_logical_record_views                                                                                                 sys                                                                                                                              stored procedure
sp_MScreate_sub_tables                                                                                                           sys                                                                                                                              stored procedure
sp_MScreate_tempgenhistorytable                                                                                                  sys                                                                                                                              stored procedure
sp_MScreatedisabledmltrigger                                                                                                     sys                                                                                                                              stored procedure
sp_MScreatedummygeneration                                                                                                       sys                                                                                                                              stored procedure
sp_MScreateglobalreplica                                                                                                         sys                                                                                                                              stored procedure
sp_MScreatelightweightinsertproc                                                                                                 sys                                                                                                                              stored procedure
sp_MScreatelightweightmultipurposeproc                                                                                           sys                                                                                                                              stored procedure
sp_MScreatelightweightprocstriggersconstraints                                                                                   sys                                                                                                                              stored procedure
sp_MScreatelightweightupdateproc                                                                                                 sys                                                                                                                              stored procedure
sp_MScreatemergedynamicsnapshot                                                                                                  sys                                                                                                                              stored procedure
sp_MScreateretry                                                                                                                 sys                                                                                                                              stored procedure
sp_MSdbuseraccess                                                                                                                sys                                                                                                                              stored procedure
sp_MSdbuserpriv                                                                                                                  sys                                                                                                                              stored procedure
sp_MSdefer_check                                                                                                                 sys                                                                                                                              stored procedure
sp_MSdelete_tracer_history                                                                                                       sys                                                                                                                              stored procedure
sp_MSdeletefoldercontents                                                                                                        sys                                                                                                                              stored procedure
sp_MSdeletemetadataactionrequest                                                                                                 sys                                                                                                                              stored procedure
sp_MSdeletepeerconflictrow                                                                                                       sys                                                                                                                              stored procedure
sp_MSdeleteretry                                                                                                                 sys                                                                                                                              stored procedure
sp_MSdeletetranconflictrow                                                                                                       sys                                                                                                                              stored procedure
sp_MSdelgenzero                                                                                                                  sys                                                                                                                              stored procedure
sp_MSdelrow                                                                                                                      sys                                                                                                                              stored procedure
sp_MSdelrowsbatch                                                                                                                sys                                                                                                                              stored procedure
sp_MSdelrowsbatch_downloadonly                                                                                                   sys                                                                                                                              stored procedure
sp_MSdelsubrows                                                                                                                  sys                                                                                                                              stored procedure
sp_MSdelsubrowsbatch                                                                                                             sys                                                                                                                              stored procedure
sp_MSdependencies                                                                                                                sys                                                                                                                              stored procedure
sp_MSdetect_nonlogged_shutdown                                                                                                   sys                                                                                                                              stored procedure
sp_MSdetectinvalidpeerconfiguration                                                                                              sys                                                                                                                              stored procedure
sp_MSdetectinvalidpeersubscription                                                                                               sys                                                                                                                              stored procedure
sp_MSdist_activate_auto_sub                                                                                                      sys                                                                                                                              stored procedure
sp_MSdist_adjust_identity                                                                                                        sys                                                                                                                              stored procedure
sp_MSdistpublisher_cleanup                                                                                                       sys                                                                                                                              stored procedure
sp_MSdistribution_counters                                                                                                       sys                                                                                                                              stored procedure
sp_MSdistributoravailable                                                                                                        sys                                                                                                                              stored procedure
sp_MSdodatabasesnapshotinitiation                                                                                                sys                                                                                                                              stored procedure
sp_MSdopartialdatabasesnapshotinitiation                                                                                         sys                                                                                                                              stored procedure
sp_MSdrop_6x_publication                                                                                                         sys                                                                                                                              stored procedure
sp_MSdrop_6x_replication_agent                                                                                                   sys                                                                                                                              stored procedure
sp_MSdrop_anonymous_entry                                                                                                        sys                                                                                                                              stored procedure
sp_MSdrop_article                                                                                                                sys                                                                                                                              stored procedure
sp_MSdrop_distribution_agent                                                                                                     sys                                                                                                                              stored procedure
sp_MSdrop_distribution_agentid_dbowner_proxy                                                                                     sys                                                                                                                              stored procedure
sp_MSdrop_dynamic_snapshot_agent                                                                                                 sys                                                                                                                              stored procedure
sp_MSdrop_logreader_agent                                                                                                        sys                                                                                                                              stored procedure
